"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<TChinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Korean>";"<Hungarian>";"<Belarusian>";"<Romanian>";"<Comments>"
"settings/main/windowed";"Windowed";"Fenêtré";"In finestra";"Fenstermodus";"Modo ventana";"Запускать в окне";"Uruchamiaj w oknie";"V okně";"Pencere modu";"窗口模式";"視窗模式";"ウィンドウ化";"Janela pequena";"Cửa sổ";"Запускати у вікні";"U prozoru";"창 있음";"Ablak";"У акне";"În fereastră";""
"settings/main/vsync";"VSync";"Vsync";"VSync";"VSync";"Vsync *";"Синхронизация";"VSync";"VSync";"VSync";"垂直同步";"垂直同步";"垂直同期";"VSync";"Đồng bộ dọc";"Синхронізація";"VSync";"수직 동기화";"VSync";"VSync";"Sincronizare verticală";""
"settings/main/vsync_on";"VSync is ON";"VSync activé";"VSync ON";"VSync ist AN";"VSync está encendido";"Синхронизация вкл.";"VSync Wł.";"VSync zapnuta";"VSync Açık";"开启垂直同步";"開啟垂直同步";"垂直同期 オン";"VSync ON";"Bật Vsync";"Vsync увімк.";"Vsync uključen";"VSync 켜짐";"Vsync BE";"Верт. сінхранізацыя ўкл.";"Sincronizare pornită";""
"settings/main/vsync_off";"VSync is OFF";"VSync désactivé";"VSync OFF";"VSync ist AUS";"VSync está desactivado";"Синхронизация выкл.";"VSync Wył.";"VSync vypnuta";"VSync is KAPALI";"关闭垂直同步";"關閉垂直同步";"垂直同期 オフ";"VSync OFF";"Tắt Vsync";"Vsync вимк.";"Vsync isključen";"VSync 꺼짐";"Vsync KI";"Верт. сінхранізацыя выкл.";"Sincronizare oprită";""
"settings/main/vsync_adaptive";"Adaptive VSync";"Vsync Adaptatif";"Vsync Adattivo";"Adaptives VSync";"VSync adaptativo";"Адаптивная синхронизация";"Adaptacyjny VSync";"Adaptivní VSync";"Adaptif VSync";"自适应垂直同步";"自適應垂直同步";"適応垂直同期";"Adaptive VSync";"Tương thích Vsync";"Адаптивна";"Adaptivan Vsync";"적응형 VSync";"Adaptív Vsync";"Адаптыўная верт. сінхранізацыя";"Sincronizare adaptativă";""
"settings/main/brightness";"Gamma";"Gamma";"Gamma";"Gamma";"Gama";"Гамма";"Gamma";"Gamma korekce";"Gamma";"亮度";"亮度";"ガンマ";"Gama";"Gamma";"Гамма";"Gama";"감마";"Gamma";"Гама";"Corecție gama";""
"settings/main/graphics";"Graphics";"Graphiques";"Grafica";"Grafik";"Gráficos";"Графика";"Grafika";"Grafika";"Grafikler";"画质";"畫質";"グラフィックス";"Gráficos";"Đồ họa";"Графіка";"Grafika";"그래픽";"Grafika";"Графіка";"Grafică";""
"settings/main/graphics_overall";"Preset for all graphics settings. Don´t use ""movie"" preset for gameplay - it is recommended for screenshots and recording movies with replays on most powerful desktops.";"Préréglages pour tous les paramètres graphiques. N´utilisez pas le préréglage ""Film"" pour le jeu - il est recommandé pour les captures d´écran et l'enregistrement de films avec des relectures sur les plus puissants ordinateurs.";"Set predefiniti per tutte le impostazioni grafiche. Si consiglia di non utilizzare il set predefinito ""film"" durante le partite, ma solo per catturare istantanee e per registrare filmati con replay sui sistemi desktop più potenti.";"Voreinstellungen für alle Grafikeinstellungen. Die Voreinstellung ""Film"" ist nicht zum spielen gedacht - sie wird für Screenshots und Filmaufnahmen auf leistungsstarken Systemen empfohlen.";"Preestablecido para toda la configuración gráfica. No utilices el valor preestablecido «película» para el juego; este valor está recomendado para capturas de pantalla y para películas con repeticiones en los equipos de sobremesa más potentes.";"Общая настройка качества изображения. Не используйте опцию ""кино"" для игры. Она рекомендована для записи скриншотов и видео из игры в режиме воспроизведения повторов на самых мощных машинах.";"Predefiniowane ustawienia grafiki. Nie korzystaj z ustawienia ""film"" podczas rozgrywki - zostało ono stworzone z myślą o wykonywaniu zrzutów ekranu i nagrywaniu filmów z powtórkami na najmocniejszych komputerach.";"Volba pro všechna grafická nastavení. Nastavení ‚film‘ nedoporučujeme používat ke hraní, je určeno pro pořizování obrázků a filmů pomocí záznamů na těch nejvýkonnějších sestavách.";"Tüm grafik seçenekleri için hazır ayarlar. Oyunda ""film"" ayarlarını kullanmanız önerilmez. Bu ayarlar, güçlü masaüstü bilgisayarlarda ekran görüntüsü alma ve film kaydı için önerilir.";"预置画质模式。请勿使用“电影”画质进行游戏——该选项仅推荐拥有高配置电脑的玩家以录像回放模式截图或录制视频用。";"設定畫質模式。請勿使用“電影”畫質進行遊戲——該選項僅推薦擁有高配備電腦的玩家使用於螢幕截圖或錄製影片。";"全てのグラフィック設定のプリセット。ゲームプレイの際には「動画」プリセットを使用しないで下さい - 動画の使用は、スクリーンショットや、最も高性能のデスクトップでリプレイで動画を録画する場合に推奨致します。";"Pré-estabelecidos para dodas as configurações gráficas. Não use a configuração ""filme"" para jogar – é recomendado para capturas de écrã e gravação de videos com repetições nos computadores mais potentes.";"Đặt trước cho tất cả các thiết lập đồ họa. Không sử dụng thiết đặt ""phim"" khi chơi game - đó là khuyến nghị cho việc chụp ảnh màn hình và quay phim với relays trên những máy tính mạnh mẽ nhất.";"Загальне налаштування якості зображення. Не використовуйте опцію ""кіно"" для гри. Вона рекомендована для запису скріншотів і відео з гри в режимі відтворення Повторів на найпотужніших системах.";"Unapred postavljena podešavanja. Nemojte koristiti unapred podešenu ""film"" grafiku za igranje - ona je preporučena za snimke ekrana i snimanje filmova na jakim mašinama.";"모든 그래픽 설정에 대한 기본 설정. 게임 플레이에 ""영화"" 기본 설정을 사용하지 마십시오. 성능이 우수한 데스크탑에서 스크린샷을 찍거나 영화를 녹화할 때 사용할 것을 권장합니다.";"Grafikai előbeállítás. A filmszerű beállítás képernyőmentések készítéséhez és visszajátszások felvételéhez ajánlott erősebb konfigurációk esetében, játékhoz ne használd.";"Агульная наладка якасці выявы. Не варта ўжываць параметр «кіно» для гульні — ён прызначаецца для стварэння здымкаў экрана і запісу відэа ў рэжыме прайгравання паўтораў, на самых прадукцыйных камп´ютарах.";"Presetări pentru toate setările grafice. Nu utilizați setarea ""film"" pentru a juca - este recomandată pentru capturi de ecran și pentru înregistrarea filmelor cu reluări pe cele mai puternice sisteme.";""
"settings/main/sound_title";"Enables\disables sound";"Activer/désactiver le son";"Attiva\disattiva effetti sonori";"Wiedergabe aller Toneffekte ein-/ oder ausschalten.";"Activar\Desactivar sonido";"Полное включение\выключение звука";"Całkowite wyłączenie dźwięku";"Zapnout/Vypnout zvuk";"Sesi açar/kapar";"启用/禁用声音";"啟用/停用聲音";"サウンドのオン\オフ";"Ativa\desativa o som";"Bật\tắt âm thanh";"Повне увімкнення\вимкнення звуку";"Uključuje/isključuje zvuk";"소리 사용\사용 안 함";"Hangok engedélyezése/tiltása";"Уключэнне/выключэнне гуку";"Activare/dezactivare sunet";""
"settings/main/sound";"Sound";"Son";"Suono";"Ton";"Sonido";"Звук";"Dźwięk";"Zvuk";"Ses";"声音";"聲音";"サウンド";"Som";"Âm thanh";"Звук";"Zvuk";"소리";"Hang";"Гук";"Sunet";""
"settings/main/soundsettings";"Sound";"Son";"Suono";"Ton";"Sonido";"Звук";"Dźwięk";"Nastavení zvuku";"Ses";"声音";"聲音";"サウンド";"Som";"Âm thanh";"Звук";"Zvuk";"소리";"Hang";"Гук";"Sunet";""
"settings/adv/visRange";"Visibility range";"Profondeur de champ ";"Campo visivo";"Sichtweite";"Visibilidad";"Дальность видимости";"Zasięg widzialności";"Dohled";"Görüş Mesafesi";"可视距离";"能見度範圍";"視程";"Alcance de visibilidade";"Phạm vi tầm nhìn";"Дальність видимості";"Domet vidljivosti";"시계 범위";"Látótávolság";"Далёкасць бачнасці";"Distanță vizibilitate";""
"settings/adv/visRange_title";"Visibility range settings affect the performance of the game.";"La profondeur de champ affecte les performances globales du jeu.";"Le impostazioni del campo visivo incidono sulle prestazioni di gioco.";"Die Sichtweite hat Einfluss auf die Spielleistung.";"El ajuste de visibilidad afecta al rendimiento general del juego.";"Настройки дальности видимости влияют на производительность игры.";"Ustawienie zasięgu widzialności wpływa na wydajność (szybkość) gry.";"Nastavení dohledu ovlivňuje výkon hry";"Görüş mesafesi oyunun performansını etkiler.";"更远的可视距离会消耗更多显示资源。";"能見度範圍會影響遊戲效能。";"視程設定は、ゲームのパフォーマンスに影響します。";"As definicões do alcance de visibilidade afeta o comportamento do jogo.";"Thiết lập phạm vi tầm nhìn ảnh hưởng đến hiệu suất của trò chơi.";"Налаштування дальності видимості впливають на продуктивність гри.";"Podešavanja dometa vidljivosti utiču na performanse igre.";"시계 범위 설정은 게임 성능에 영향을 줍니다.";"A látótávolság-beállítás hatással van a játék teljesítményére.";"Налады бачнасці ўплываюць на прадукцыйнасць гульні.";"Setarea distanței de vizibilitate afectează performața jocului.";""
"settings/aa";"Anti-aliasing";"Antialiasing ";"Antialiasing";"Antialiasing";"Antialiasing";"Сглаживание";"Antialiasing";"Vyhlazování hran";"Anti-aliasing";"反锯齿";"反鋸齒";"アンチエリアス処理";"Antialiasing";"Khử răng cưa";"Згладжування";"Smanjivanje nazubljenosti ivica";"앤티앨리어싱";"Élsimítás";"Згладжванне";"Anticrenelare";""
"settings/adv/fsaa";"Anti-aliasing";"Antialiasing ";"Antialiasing";"Antialiasing";"Antialiasing";"Сглаживание";"Antialiasing";"Vyhlazování hran";"Anti-aliasing";"反锯齿";"反鋸齒";"アンチエリアス処理";"Antialiasing";"Khử răng cưa";"Згладжування";"Smanjivanje nazubljenosti ivica";"앤티앨리어싱";"Élsimítás";"Згладжванне";"Anticrenelare";""
"settings/adv/fsaa_title";"For an obsolete video adapter, it is recommended to disable this option.";"Avec une carte graphique ancienne, il est recommandé de désactiver cette option.";"Se si utilizza una scheda grafica obsoleta, è consigliabile disattivare questa funzione.";"Nicht empfohlen für leistungsschwache Grafikkarten.";"Si se utiliza un adaptador de vídeo obsoleto, se recomienda desactivar esta función.";"Рекомендуется выключать на слабых видеокартах.";"Proponujemy wyłączać na słabych kartach graficznych.";"Pokud máte starší grafickou kartu, tuto možnost vypněte";"Eski ekran kartlarında bu işlevin kapatılması önerilir.";"建议使用低端显卡的玩家选择“关”。";"低階顯示卡的玩家建議選擇“關閉”。";"古いビデオアダプターでは、これを無効にすることを推奨致します。";"Para uma placa gráfica obsoleta, é aconselhável desativar isto.";"Với một thiết bị video lỗi thời, khuyến khích để vô hiệu hóa điều này.";"Рекомендується вимикати на слабких відеокартах.";"Za zastareli video adapter, preporučujemo da isključite ovu opciju.";"구형 비디오 어댑터의 경우 이 옵션을 사용하지 마십시오.";"Elavult videokártya használata esetén ajánlott kikapcsolni ezt a beállítást.";"Рэкамендуецца адключаць на слабых відэакартах.";"Pentru o placă video foarte veche, este recomandată dezactivarea acestei opțiuni.";""
"settings/adv/anisotropy";"Anisotropy";"Anisotropie ";"Anisotropia";"Anisotropischer Filter";"Anisotropía";"Анизотропная фильтрация";"Filtrowanie anizotropowe";"Anisotropní filtrování";"Anizotropi";"各向异性";"非均向性";"異方性";"Anisotropia";"Anisotropy";"Анізотропна фільтрація";"Anisotropski filter";"이방성";"Anizotrópia";"Анізатропная фільтрацыя";"Anizotropie";""
"settings/adv/anisotropy_title";"For an obsolete video adapter, it is recommended to disable this option.";"Avec une carte graphique ancienne, il est recommandé de désactiver cette option.";"Se si utilizza una scheda grafica obsoleta, è consigliabile disattivare questa funzione.";"Nicht empfohlen für leistungsschwache Grafikkarten.";"Si se utiliza un adaptador de vídeo obsoleto, se recomienda desactivar esta función.";"Рекомендуется выключать на слабых видеокартах.";"Proponujemy wyłączać na słabych kartach graficznych.";"Pokud máte starší grafickou kartu, tuto možnost vypněte";"Eski ekran kartlarında bu işlevin kapatılması önerilir.";"建议使用低端显卡的玩家选择“关”。";"建议使用低端显卡的玩家选择“关”。";"古いビデオアダプターでは、これを無効にすることを推奨致します。";"Para uma placa gráfica obsoleta, é aconselhável desativar isto.";"Với một thiết bị video lỗi thời, khuyến khích để vô hiệu hóa điều này.";"Рекомендується вимикати на слабких відеокартах.";"Za zastareli video adapter, preporučujemo da isključite ovu opciju.";"구형 비디오 어댑터의 경우 이 옵션을 사용하지 마십시오.";"Elavult videokártya használata esetén ajánlott kikapcsolni ezt a beállítást.";"Рэкамендуецца адключаць на слабых відэакартах.";"Pentru o placă video foarte veche, este recomandată dezactivarea acestei opțiuni.";""
"settings/adv/shadowQuality";"Shadow quality";"Qualité des ombres ";"Qualità ombre";"Schattenqualität";"Calidad sombra";"Качество теней";"Jakość cieni";"Kvalita stínů";"Gölge kalitesi";"阴影质量";"陰影品質";"シャドウ品質";"Qualidade das sombras";"Hiệu ứng đổ bóng";"Якість тіней";"Kvalitet senki";"그림자 품질";"Árnyékminőség";"Якасць ценяў";"Calitate umbre";""
"settings/adv/texQuality";"Texture quality";"Qualité des textures ";"Qualità texture";"Texturqualität";"Calidad de la textura";"Качество текстур";"Jakość tekstur";"Kvalita textur";"Doku kalitesi";"纹理质量";"紋理品質";"テクスチャ品質";"Qualidade das texturas";"Chi tiết kết cấu";"Якість текстур";"Kvalitet tekstura";"텍스처 품질";"Textúraminőség";"Якасць тэкстур";"Calitate textură";""
"settings/adv/texQuality_title";"Texture Quality. This option increases the quality of non-player aircraft. It is recommended that you decrease this setting if the game is running slowly. The 'very high' option is currently unavailable. ";"Il est recommandé de diminuer la qualité des textures quand le jeu est saccadé.";"Qualità delle texture.  Questa opzione consente di migliorare la qualità visiva degli aeromobili non controllati.  È consigliabile ridurre questa impostazione nel caso in cui il gioco risulti lento.  L'opzione ""molto alto"" non è al momento disponibile. ";"Die Texturqualität beeinflusst die Wiedergabe von Nichtspieler-Flugzeugen. Sollte das Spiel nur langsam laufen, empfiehlt es sich, diese Einstellung herabzusetzen. Die Option 'Sehr hoch' ist gegenwärtig nicht verfügbar.";"Se recomienda reducir la calidad de la textura si el juego va lento";"Настройка качества текстур. 'Cверхвысокое' качество текстур временно недоступно.";"Ustawienia jakości tekstur. „Ultrawysoka” jakość jest polecana wyłącznie dla kart graficznych o pamięci większej, niż 1 GB. Wpływa tylko na jakość szczegółów samolotów przeciwników i sojuszników. Jeśli jakość gry znacznie spada, zalecane jest obniżenie wielkości.";"Kvalita textur. Tato možnost zvyšuje kvalitu nehráčských letadel. Pokud hra funguje pomalu, doporučujeme vám toto nastavení snížit. Možnost ‚velmi vysoká‘ není v tuto chvíli dostupná.";"Doku kalitesi. Bu seçenek, oyuncu tarafından kontrol edilmeyen uçakların kalitesini artırır. Oyunun yavaş çalışması halinde bu seçeneği düşürmeniz önerilir. 'Çok yüksek' seçeneği şu anda kullanılamıyor. ";"影响非玩家控制的飞机显示效果。建议游戏运行缓慢时调低此项设置。“超高”选项暂不可用。";"紋理品質是影響非玩家控制的飛機之顯示效果。若是遊戲執行緩慢時建議調低此項設定。“非常高”選項暫時無法使用。";"テクスチャ品質。このオプションでは、プレイヤー以外の航空機の品質が向上します。ゲーム速度が遅い場合は、この設定を下げることを推奨致します。「非常に高い」オプションは、現在、使用できません。 ";"Qualidade das texturas. Esta opção aumenta a qualidade dos aviões que não são do jogador. É recomendável a redução desta opção se o jogo está correndo devagar. A opção ''muito alto'' não está disponível atualmente.";"Chi tiết kết cấu. Tùy chọn này tăng chi tiết của các máy bay không phải của người chơi. Chúng tôi đề nghị bạn giảm cài đặt này nếu trò chơi chạy chậm. Tùy chọn ""rất cao"" chưa sẵn sàng. ";"Налаштування якості текстур. 'Надвисока' якість тимчасово недоступна.";"Kvalitet tekstura. Ova opcija povećava kvalitet izgleda drugih aviona. Preporučujemo da smanjite ovo podešavanje ako vam je igra usporena. Opcija 'veoma visoko' trenutno nije dostupna.";"텍스처 품질. 이 옵션은 비 플레이어 항공기의 품질을 높입니다. 게임 속도가 느리면 이 설정을 줄이십시오. '매우 높음' 옵션은 현재 사용할 수 없습니다. ";"Textúraminőség. Ajánlott csökkenteni a minőségen, ha lassan fut a játék. A nagyon magas beállítás jelenleg nem elérhető.";"Налады якасці тэкстур. «Вельмі высокая» якасць тэкстур часова недаступная.";"Calitatea texturilor. Această opțiune mărește calitatea vehiculelor necontrolate de jucător. Este recomandată reducerea calității dacă jocul rulează lent. Opțiunea ""foarte mare"" este momentan indisponibilă.";""
"settings/adv/hdr_title";"Lighting effects. It minimally affects performance of up-to-date video adapters. Disabling this option will improve the performance of obsolete video adapters only.";"Effets lumineux. La diminution des performances est faible sur des cartes graphiques récentes. Seul les anciennes cartes peuvent bénéficier de la désactivation de cette option.";"Effetti illuminazione. Questa opzione incide in maniera minima sulle prestazioni delle più recenti schede video. Disattivando questa opzione è possibile migliorare le prestazioni unicamente nel caso si utilizzi una scheda grafica obsoleta.";"Beleuchtungseffekte. Diese Einstellung beeinflusst die Spielleistung bei aktuellen Grafikkarten kaum. Nur auf leistungsschwachen Grafikkarten wird die Deaktivierung dieser Option die Spielleistung verbessern.";"Efectos de luz. Apenas afecta el rendimiento de los adaptadores de vídeo modernos. Desactivar esta opción solamente mejorará el rendimiento de los adaptadores de vídeo obsoletos.";"Эффекты освещения. На современных видеокартах незначительно сказываются на производительности. Выключение этой опции сильно ускоряет игру только на слабых видеокартах.";"Efekty świetlne. W przypadku współczesnych kart graficznych w sposób nieznacznie wpływa na wydajność gry. Wyłączenie tej opcji znacznie przyspiesza działanie gry tylkow przypadku słabszych kart graficznych.";"Efekty nasvěcování. U moderních grafických karet je dopad na výkon minimální. Vypnutí této možnosti zvýší výkon pouze na starších grafických kartách.";"Işık etkileri. Güncel ekran kartlarında performansı çok az etkiler. Bu seçeneği kapatmak yalnızca eski ekran kartlarının performansını artırır.";"调高此项设置对高端显卡的性能影响很小。低端显卡用户可选择调低。";"調高光源效果設定對高階顯示卡的性能影響很小。低階顯示卡的玩家可以選擇關閉此選項。";"照明効果。最新のビデオアダプターのパフォーマンスにはほとんど影響しません。このオプションをオフにしてパフォーマンスが向上するのは、古いビデオアダプターのみです。";"Efeitos de luz. Afeta de forma minima o comportamento em placas gráficas recentes. Desativando esta opção irá melhorar o comportamento apenas de placas gráficas obsoletas.";"Hiệu ứng ánh sáng. Nó ảnh hưởng một chút đến hiệu suất nâng cấp của card màn hình. Tắt tùy chọn này sẽ cải thiện hiệu suất của những card màn hình lỗi thời.";"Ефекти освітлення. З використанням сучасних відеоадаптерів це мінімально впливає на продуктивність гри. Вимкнення цієї опції дозволить підвищити продуктивність тільки на застарілих відеокартах.";"Kvalitet osvetljenja. Minimalno utiče na performanse sadašnjih video adaptera. Isključivanje ove opcije uticaće samo na zastarele video adaptere.";"조명 효과. 최신 비디오 어댑터의 성능에 영향이 미미합니다. 이 옵션을 사용하지 않으면 구형 비디오 어댑터의 경우에만 성능이 향상됩니다.";"Megvilágítási effektusok. Csekély mértékben befolyásolja a modernebb videokártyák teljesítményét, kikapcsolása csak elavult videokártya használata esetén javít a teljesítményen.";"Эфекты асвятлення. На сучасных відэакартах нязначна ўплываюць на прадукцыйнасць гульні. Выключэнне гэтага параметра павялічвае прадукцыйнасць толькі на старых відэакартах.";"Efecte iluminare. Afectează puțin performanța plăcilor video actuale. Dezactivarea acestei opțiuni va îmbunătăți performanța numai a plăcilor video învechite.";""
"settings/adv/hdr";"HDR";"HDR";"HDR";"HDR";"HDR";"HDR";"HDR";"Dynamický rozsah (HDR)";"HDR";"高动态范围";"高動態範圍成像";"HDR";"HDR";"HDR";"HDR";"HDR";"HDR";"HDR";"HDR";"HDR";""
"settings/adv/adaptation_title";"Auto-exposure effects";"Effets d'autoexposition";"Effetti di esposizione automatica";"Autom. Belichtungseffekte";"Autoexposición";"Эффекты автоэкспозиции\адаптации зрения. Работают только при включённом HDR.";"Efekty autoekspozycji. Działa tylko przy włączonym HDR.";"Efekty automatické expozice";"Otomatik pozlama efektleri";"自动曝光效果";"自動曝光效果";"自動露出効果";"Efeitos de autoexposição";"Hiệu ứng tự động lấy sáng";"Ефекти автоекспозиції\адаптації зору. Працюють тільки при увімкненому HDR.";"Efekat auto-ekspozicije";"자동 노출 효과";"Autoexpozíciós hatások";"Эфекты аўтаматычнай экспазіцыі/адаптацыі зроку. Дзейнічаюць толькі пры ўключаным HDR.";"Efecte autoexpunere";""
"settings/adv/adaptation";"Auto-exposure";"Autoexposition";"Esposizione automatica";"Autom. Belichtung";"Autoexposición";"Адаптация";"Adaptacja";"Automatická expozice";"Otomatik-pozlama";"自动曝光";"自動曝光";"自動露出";"Autoexposição";"Tự động lấy sáng";"Адаптація";"Auto-ekspozicija";"자동 노출";"Autoexpozíció";"Аўтаматычнае кіраванне экспазіцыяй";"Autoexpunere";""
